"","pc4","n"
"1526","4528",315
"1527","4529",960
"1528","4531",2750
"1529","4532",7050
"1530","4533",4440
"1531","4535",4525
"1532","4536",3100
"1533","4537",3895
"1534","4538",290
"1535","4539",185
"1536","4541",2260
"1537","4542",2840
"1538","4543",2720
"1539","4551",3925
"1540","4553",2025
"1541","4554",1925
"1542","4561",9825
"1543","4562",1070
"1544","4564",3160
"1545","4565",350
"1546","4566",1165
"1547","4567",2315
"1548","4568",960
"1549","4569",940
"1550","4571",7840
"1551","4574",910
"1552","4575",255
"1553","4576",2615
"1554","4581",1805
"1555","4583",460
"1556","4584",250
"1557","4585",670
"1558","4586",555
"1559","4587",3185
"1560","4588",330
"1561","4589",285
"1562","4611",9775
"1563","4612",730
"1564","4613",3725
"1565","4614",7095
"1566","4615",5645
"1567","4616",1755
"1568","4617",7240
"1569","4621",4740
"1570","4622",470
"1571","4623",4055
"1572","4624",6595
"1573","4625",3405
"1574","4631",9370
"1575","4634",1475
"1576","4635",2045
"1577","4641",5450
"1578","4645",3865
"1579","4651",12535
"1580","4652",745
"1581","4655",725
"1582","4661",12540
"1583","4664",1915
"1584","4671",5810
"1585","4675",2700
"1586","4681",2265
"1587","4691",8420
"1588","4693",1780
"1589","4694",1855
"1590","4695",3570
"1591","4696",1700
"1592","4697",4090
"1593","4698",2740
"1594","4701",7010
"1595","4702",12950
"1596","4703",7680
"1597","4704",100
"1598","4705",315
"1599","4706",11105
"1600","4707",16065
"1601","4708",12005
"1602","4709",1810
"1603","4711",9690
"1604","4714",5275
"1605","4715",5150
"1606","4721",1325
"1607","4722",225
"1608","4724",4850
"1609","4725",1205
"1610","4726",1855
"1611","4727",610
"1612","4731",13130
"1613","4735",2080
"1614","4741",6815
"1615","4744",2605
"1616","4751",7440
"1617","4754",1195
"1618","4756",2340
"1619","4758",2260
"1620","4759",1045
"1621","4761",13405
"1622","4762",1835
"1623","4765",1620
"1624","4766",20
"1625","4771",640
"1626","4772",250
"1627","4781",560
"1628","4782",520
"1629","4791",5970
"1630","4793",5625
"1631","4794",970
"1632","4796",280
"1633","4797",3110
"1634","4811",18555
"1635","4812",10570
"1636","4813",8690
"1637","4814",11710
"1638","4815",4340
"1639","4816",4875
"1640","4817",15975
"1641","4818",8860
"1642","4819",3675
"1643","4822",7755
"1644","4823",8600
"1645","4824",8825
"1646","4825",95
"1647","4826",9185
"1648","4827",7840
"1649","4834",11980
"1650","4835",6825
"1651","4836",940
"1652","4837",2290
"1653","4838",1220
"1654","4839",410
"1655","4841",12335
"1656","4844",6355
"1657","4845",2240
"1658","4847",9140
"1659","4849",3185
"1660","4851",4955
"1661","4854",8430
"1662","4855",1080
"1663","4856",335
"1664","4858",320
"1665","4859",50
"1666","4861",4255
"1667","4871",17210
"1668","4872",8875
"1669","4873",6245
"1670","4874",3150
"1671","4875",1820
"1672","4876",7720
"1673","4877",35
"1674","4878",5
"1675","4879",175
"1676","4881",8545
"1677","4882",2375
"1678","4884",3015
"1679","4885",1790
"1680","4891",6820
"1681","4901",10905
"1682","4902",9585
"1683","4903",435
"1684","4904",11985
"1685","4905",1410
"1686","4906",4720
"1687","4907",10100
"1688","4908",3050
"1689","4909",1250
"1690","4911",1300
"1691","4921",12965
"1692","4924",555
"1693","4926",4260
"1694","4927",1795
"1695","4931",7230
"1696","4941",8965
"1697","4942",3625
"1698","4944",2240
"1699","5011",12045
"1700","5012",4915
"1701","5013",740
"1702","5014",12090
"1703","5015",755
"1704","5017",5985
"1705","5018",4010
"1706","5021",12620
"1707","5022",8520
"1708","5025",13095
"1709","5026",1700
"1710","5032",6100
"1711","5035",8005
"1712","5036",9120
"1713","5037",11090
"1714","5038",16520
"1715","5041",9890
"1716","5042",12820
"1717","5043",9125
"1718","5044",8330
"1719","5045",18110
"1720","5046",12260
"1721","5047",140
"1722","5048",50
"1723","5049",7120
"1724","5051",14795
"1725","5052",4570
"1726","5053",1960
"1727","5056",12400
"1728","5057",2395
"1729","5059",360
"1730","5061",12630
"1731","5062",6265
"1732","5063",1570
"1733","5066",6120
"1734","5071",8420
"1735","5074",1480
"1736","5076",6010
"1737","5081",8780
"1738","5084",1035
"1739","5085",1290
"1740","5087",3940
"1741","5089",915
"1742","5091",6135
"1743","5094",1900
"1744","5095",1965
"1745","5096",865
"1746","5101",3745
"1747","5102",6840
"1748","5103",6420
"1749","5104",6155
"1750","5105",415
"1751","5106",1245
"1752","5107",45
"1753","5109",2230
"1754","5111",5790
"1755","5113",1160
"1756","5114",125
"1757","5121",12310
"1758","5122",4480
"1759","5124",1220
"1760","5125",450
"1761","5126",8880
"1762","5131",4415
"1763","5133",3000
"1764","5141",6595
"1765","5142",9945
"1766","5143",4425
"1767","5144",9300
"1768","5145",355
"1769","5146",4495
"1770","5151",12945
"1771","5152",5335
"1772","5154",1850
"1773","5156",2720
"1774","5157",95
"1775","5158",190
"1776","5161",10015
"1777","5165",5170
"1778","5171",14130
"1779","5172",2845
"1780","5175",6195
"1781","5176",680
"1782","5211",13935
"1783","5212",7135
"1784","5213",8020
"1785","5215",5430
"1786","5216",7210
"1787","5221",5775
"1788","5222",125
"1789","5223",13760
"1790","5224",9025
"1791","5231",10590
"1792","5232",2125
"1793","5233",8100
"1794","5234",85
"1795","5235",6885
"1796","5236",6620
"1797","5237",9145
"1798","5241",6730
"1799","5242",5005
"1800","5243",2765
"1801","5244",3190
"1802","5245",5675
"1803","5246",6050
"1804","5247",7950
"1805","5248",1535
"1806","5249",340
"1807","5251",13710
"1808","5252",2075
"1809","5253",2165
"1810","5254",2590
"1811","5255",780
"1812","5256",1315
"1813","5257",265
"1814","5258",10455
"1815","5261",7250
"1816","5262",13440
"1817","5263",5705
"1818","5264",140
"1819","5266",905
"1820","5268",4915
"1821","5271",10950
"1822","5272",1610
"1823","5275",4890
"1824","5281",7290
"1825","5282",6990
"1826","5283",12700
"1827","5291",1250
"1828","5292",240
"1829","5293",520
"1830","5294",170
"1831","5296",2210
"1832","5298",4790
"1833","5301",10725
"1834","5302",2835
"1835","5305",1960
"1836","5306",3210
"1837","5307",1175
"1838","5308",2205
"1839","5311",2665
"1840","5313",915
"1841","5314",1750
"1842","5315",685
"1843","5316",430
"1844","5317",1805
"1845","5318",35
"1846","5321",5270
"1847","5324",3650
"1848","5325",1190
"1849","5327",850
"1850","5328",2810
"1851","5331",8235
"1852","5333",300
"1853","5334",1905
"1854","5335",630
"1855","5341",7275
"1856","5342",6960
"1857","5343",5505
"1858","5344",8225
"1859","5345",13475
"1860","5346",7655
"1861","5347",1280
"1862","5348",9350
"1863","5349",275
"1864","5351",11055
"1865","5352",740
"1866","5353",215
"1867","5354",175
"1868","5355",80
"1869","5356",190
"1870","5357",450
"1871","5358",340
"1872","5359",45
"1873","5361",8585
"1874","5363",1380
"1875","5364",1220
"1876","5366",1755
"1877","5367",745
"1878","5368",740
"1879","5369",NA
"1880","5371",3155
"1881","5373",2930
"1882","5374",7395
"1883","5375",1785
"1884","5381",745
"1885","5382",1580
"1886","5383",505
"1887","5384",13985
"1888","5386",5095
"1889","5388",6605
"1890","5391",3870
"1891","5392",905
"1892","5394",1270
"1893","5395",190
"1894","5396",850
"1895","5397",3205
"1896","5398",1395
"1897","5401",8450
"1898","5402",8030
"1899","5403",9010
"1900","5404",3840
"1901","5405",755
"1902","5406",7420
"1903","5408",3585
"1904","5409",2070
"1905","5411",6880
"1906","5421",13495
"1907","5422",3700
"1908","5423",1870
"1909","5424",1110
"1910","5425",1710
"1911","5427",9505
"1912","5428",1790
"1913","5431",11580
"1914","5432",7155
"1915","5433",505
"1916","5434",1265
"1917","5435",490
"1918","5437",1765
"1919","5438",1220
"1920","5439",280
"1921","5441",2375
"1922","5443",2895
"1923","5445",725
"1924","5446",2920
"1925","5447",1685
"1926","5449",80
"1927","5451",6375
"1928","5453",2325
"1929","5454",1400
"1930","5455",1125
"1931","5461",4930
"1932","5462",3585
"1933","5463",8955
"1934","5464",6225
"1935","5465",1850
"1936","5466",1505
"1937","5467",7405
"1938","5469",7310
"1939","5471",115
"1940","5472",1215
"1941","5473",8675
"1942","5476",1870
"1943","5481",9945
"1944","5482",14090
"1945","5491",11240
"1946","5492",7260
"1947","5501",4245
"1948","5502",5080
"1949","5503",5980
"1950","5504",6555
"1951","5505",4885
"1952","5506",2790
"1953","5507",3335
"1954","5508",10645
"1955","5509",3315
"1956","5511",1440
"1957","5512",2210
"1958","5513",2145
"1959","5521",10860
"1960","5524",1525
"1961","5525",2015
"1962","5527",5755
"1963","5528",2325
"1964","5529",1140
"1965","5531",10690
"1966","5534",1075
"1967","5541",8845
"1968","5551",9595
"1969","5552",6110
"1970","5553",1895
"1971","5554",9555
"1972","5555",3250
"1973","5556",1305
"1974","5561",2405
"1975","5563",2125
"1976","5571",11400
"1977","5575",3265
"1978","5581",7210
"1979","5582",5230
"1980","5583",5550
"1981","5591",10245
"1982","5595",4600
"1983","5611",14500
"1984","5612",13320
"1985","5613",6635
"1986","5614",3815
"1987","5615",7985
"1988","5616",13510
"1989","5617",3125
"1990","5621",5850
"1991","5622",8620
"1992","5623",10780
"1993","5624",5650
"1994","5625",10160
"1995","5626",4150
"1996","5627",12150
"1997","5628",10460
"1998","5629",10040
"1999","5631",5930
"2000","5632",13335
"2001","5633",145
"2002","5641",7945
"2003","5642",8565
"2004","5643",8445
"2005","5644",8950
"2006","5645",3905
"2007","5646",2460
"2008","5647",40
"2009","5651",4175
"2010","5652",6925
"2011","5653",6900
"2012","5654",10480
"2013","5655",4250
"2014","5656",NA
"2015","5657",245
"2016","5658",12970
"2017","5661",1195
"2018","5662",3175
"2019","5663",6270
"2020","5664",5045
"2021","5665",5325
"2022","5666",3930
"2023","5667",4535
"2024","5671",5705
"2025","5672",6975
"2026","5673",6150
"2027","5674",5400
"2028","5681",850
"2029","5682",4275
"2030","5683",6530
"2031","5684",12665
"2032","5685",6900
"2033","5688",12555
"2034","5689",590
"2035","5691",10955
"2036","5692",2180
"2037","5694",4825
"2038","5701",16235
"2039","5702",12180
"2040","5703",5620
"2041","5704",9005
"2042","5705",2355
"2043","5706",15290
"2044","5707",10835
"2045","5708",11300
"2046","5709",13055
"2047","5711",8650
"2048","5712",9220
"2049","5715",2315
"2050","5721",13390
"2051","5722",295
"2052","5724",1035
"2053","5725",2575
"2054","5731",11255
"2055","5735",5900
"2056","5737",4335
"2057","5738",2065
"2058","5741",10920
"2059","5751",13130
"2060","5752",1885
"2061","5753",4295
"2062","5754",6235
"2063","5756",1495
"2064","5757",3355
"2065","5758",1870
"2066","5759",915
"2067","5761",6155
"2068","5763",2225
"2069","5764",1170
"2070","5766",525
"2071","5768",6440
"2072","5801",10440
"2073","5802",7335
"2074","5803",8020
"2075","5804",3550
"2076","5807",2515
"2077","5808",1230
"2078","5809",2215
"2079","5811",860
"2080","5812",515
"2081","5813",2375
"2082","5814",550
"2083","5815",1095
"2084","5816",250
"2085","5817",210
"2086","5821",2600
"2087","5823",930
"2088","5824",560
"2089","5825",4305
"2090","5826",515
"2091","5827",795
"2092","5831",12500
"2093","5835",1955
"2094","5836",1840
"2095","5841",1890
"2096","5843",715
"2097","5844",790
"2098","5845",4235
"2099","5846",740
"2100","5851",2110
"2101","5853",2120
"2102","5854",5295
"2103","5855",2415
"2104","5856",1210
"2105","5861",1880
"2106","5862",410
"2107","5863",1215
"2108","5864",1915
"2109","5865",1355
"2110","5866",1280
"2111","5871",1115
"2112","5872",815
"2113","5911",5245
"2114","5912",10410
"2115","5913",9890
"2116","5914",7785
"2117","5915",6005
"2118","5916",2490
"2119","5921",6755
"2120","5922",6000
"2121","5923",3060
"2122","5924",3705
"2123","5925",3845
"2124","5926",2890
"2125","5927",890
"2126","5928",845
"2127","5931",9720
"2128","5932",5455
"2129","5935",3655
"2130","5941",5535
"2131","5943",1055
"2132","5944",2985
"2133","5951",5575
"2134","5953",10985
"2135","5954",2410
"2136","5961",13370
"2137","5962",2195
"2138","5963",2045
"2139","5964",1685
"2140","5966",2320
"2141","5971",4885
"2142","5973",1995
"2143","5975",7045
"2144","5976",1125
"2145","5977",240
"2146","5981",7820
"2147","5984",1245
"2148","5985",1690
"2149","5986",2190
"2150","5987",1530
"2151","5988",6460
"2152","5991",6440
"2153","5993",7545
"2154","5995",4170
"2155","6001",8095
"2156","6002",6460
"2157","6003",5795
"2158","6004",9440
"2159","6005",4410
"2160","6006",11725
"2161","6011",1455
"2162","6012",490
"2163","6013",975
"2164","6014",1650
"2165","6015",1255
"2166","6017",2480
"2167","6019",2000
"2168","6021",9515
"2169","6023",2130
"2170","6024",1430
"2171","6026",5185
"2172","6027",1850
"2173","6028",730
"2174","6029",1960
"2175","6031",10600
"2176","6034",1555
"2177","6035",4190
"2178","6037",1200
"2179","6039",5145
"2180","6041",12625
"2181","6042",9855
"2182","6043",11390
"2183","6044",3505
"2184","6045",6150
"2185","6049",8355
"2186","6051",7025
"2187","6061",4030
"2188","6063",2370
"2189","6065",3100
"2190","6067",3860
"2191","6071",8860
"2192","6074",3710
"2193","6075",4250
"2194","6077",3350
"2195","6081",4380
"2196","6082",930
"2197","6083",680
"2198","6085",3760
"2199","6086",3330
"2200","6088",4275
"2201","6089",735
"2202","6091",825
"2203","6092",325
"2204","6093",6585
"2205","6095",2645
"2206","6096",1665
"2207","6097",4570
"2208","6099",1885
"2209","6101",9755
"2210","6102",5240
"2211","6104",1665
"2212","6105",1350
"2213","6107",1745
"2214","6109",840
"2215","6111",575
"2216","6112",835
"2217","6114",7810
"2218","6116",1495
"2219","6118",3315
"2220","6121",5925
"2221","6122",1980
"2222","6123",1120
"2223","6124",750
"2224","6125",1735
"2225","6127",2265
"2226","6129",5695
"2227","6131",5150
"2228","6132",5265
"2229","6133",3740
"2230","6134",2400
"2231","6135",6160
"2232","6136",6820
"2233","6137",8140
"2234","6141",2540
"2235","6142",1300
"2236","6143",1220
"2237","6151",4545
"2238","6153",100
"2239","6155",2020
"2240","6161",4275
"2241","6162",4580
"2242","6163",7715
"2243","6164",4975
"2244","6165",4755
"2245","6166",5160
"2246","6167",20
"2247","6171",10715
"2248","6174",755
"2249","6176",3355
"2250","6181",8335
"2251","6191",12415
"2252","6199",450
"2253","6211",13745
"2254","6212",4500
"2255","6213",4560
"2256","6214",5000
"2257","6215",8160
"2258","6216",7220
"2259","6217",9350
"2260","6218",7315
"2261","6219",1645
"2262","6221",10520
"2263","6222",5770
"2264","6223",2630
"2265","6224",9190
"2266","6225",6695
"2267","6226",7415
"2268","6227",7575
"2269","6228",6550
"2270","6229",7420
"2271","6231",7515
"2272","6235",2785
"2273","6237",325
"2274","6241",5450
"2275","6243",2500
"2276","6245",9675
"2277","6247",2905
"2278","6251",400
"2279","6252",145
"2280","6255",1180
"2281","6261",845
"2282","6262",1000
"2283","6265",1410
"2284","6267",3585
"2285","6268",570
"2286","6269",3985
"2287","6271",3905
"2288","6273",220
"2289","6274",520
"2290","6276",150
"2291","6277",385
"2292","6278",70
"2293","6281",1720
"2294","6285",1020
"2295","6286",1935
"2296","6287",1640
"2297","6289",75
"2298","6291",7830
"2299","6294",1410
"2300","6295",880
"2301","6301",10565
"2302","6305",1415
"2303","6307",325
"2304","6311",815
"2305","6312",160
"2306","6321",2405
"2307","6325",4305
"2308","6333",3170
"2309","6336",3880
"2310","6341",50
"2311","6342",100
"2312","6343",3270
"2313","6351",4985
"2314","6353",40
"2315","6361",6445
"2316","6363",1610
"2317","6365",2705
"2318","6367",8130
"2319","6369",5225
"2320","6371",6290
"2321","6372",10160
"2322","6373",8780
"2323","6374",11885
"2324","6411",8060
"2325","6412",8970
"2326","6413",11180
"2327","6414",7545
"2328","6415",6445
"2329","6416",6075
"2330","6417",6690
"2331","6418",9445
"2332","6419",4175
"2333","6421",10
"2334","6422",70
"2335","6431",9850
"2336","6432",3955
"2337","6433",4985
"2338","6436",2655
"2339","6438",3715
"2340","6439",1095
"2341","6441",7440
"2342","6442",2645
"2343","6443",3700
"2344","6444",6260
"2345","6445",2755
"2346","6446",4965
"2347","6447",1595
"2348","6451",4675
"2349","6454",720
"2350","6456",855
"2351","6461",8110
"2352","6462",7105
"2353","6463",4630
"2354","6464",4285
"2355","6465",2010
"2356","6466",7745
"2357","6467",4850
"2358","6468",265
"2359","6469",590
"2360","6471",5730
"2361","6511",11180
"2362","6512",5790
"2363","6515",10300
"2364","6521",6855
"2365","6522",5025
"2366","6523",8060
"2367","6524",7790
"2368","6525",10200
"2369","6531",10465
"2370","6532",6065
"2371","6533",11350
"2372","6534",3880
"2373","6535",7275
"2374","6536",3510
"2375","6537",9730
"2376","6538",9340
"2377","6541",10510
"2378","6542",7455
"2379","6543",7740
"2380","6544",5510
"2381","6545",5375
"2382","6546",9110
"2383","6551",2560
"2384","6561",6570
"2385","6562",10590
"2386","6564",850
"2387","6566",5835
"2388","6571",2000
"2389","6572",495
"2390","6573",3620
"2391","6574",490
"2392","6575",90
"2393","6576",2555
"2394","6577",170
"2395","6578",1735
"2396","6579",480
"2397","6581",11355
"2398","6582",1950
"2399","6584",3730
"2400","6585",3205
"2401","6586",345
"2402","6587",870
"2403","6591",9255
"2404","6595",2390
"2405","6596",2880
"2406","6598",2485
"2407","6599",785
"2408","6601",10570
"2409","6602",6580
"2410","6603",5120
"2411","6604",3945
"2412","6605",10615
"2413","6606",430
"2414","6611",2710
"2415","6612",820
"2416","6613",740
"2417","6615",130
"2418","6616",965
"2419","6617",1775
"2420","6621",3550
"2421","6624",1350
"2422","6626",1720
"2423","6627",1420
"2424","6628",645
"2425","6629",840
"2426","6631",1630
"2427","6634",670
"2428","6641",12895
"2429","6642",4520
"2430","6644",4515
"2431","6645",2230
"2432","6651",10750
"2433","6652",2305
"2434","6653",1895
"2435","6654",1695
"2436","6655",1310
"2437","6657",2240
"2438","6658",7325
"2439","6659",2590
"2440","6661",12545
"2441","6662",9935
"2442","6663",14525
"2443","6665",4380
"2444","6666",5050
"2445","6668",1460
"2446","6669",4600
"2447","6671",5220
"2448","6672",175
"2449","6673",1700
"2450","6674",3190
"2451","6675",2020
"2452","6676",65
"2453","6677",485
"2454","6678",2685
"2455","6681",12260
"2456","6684",130
"2457","6685",2070
"2458","6686",2775
"2459","6687",2915
"2460","6691",7385
"2461","6701",4165
"2462","6702",2835
"2463","6703",2870
"2464","6704",1020
"2465","6705",1470
"2466","6706",5630
"2467","6707",5180
"2468","6708",13770
"2469","6709",5640
"2470","6711",12835
"2471","6712",5135
"2472","6713",10500
"2473","6714",7760
"2474","6715",6805
"2475","6716",8075
"2476","6717",19880
"2477","6718",10030
"2478","6721",15215
"2479","6731",2150
"2480","6732",4010
"2481","6733",2895
"2482","6741",13830
"2483","6744",3785
"2484","6745",505
"2485","6811",7015
"2486","6812",2840
"2487","6813",4345
"2488","6814",6345
"2489","6815",3330
"2490","6816",2355
"2491","6821",5825
"2492","6822",7155
"2493","6823",6810
"2494","6824",10695
"2495","6825",5935
"2496","6826",10485
"2497","6827",1230
"2498","6828",12520
"2499","6831",3625
"2500","6832",5745
"2501","6833",6540
"2502","6834",3370
"2503","6835",5595
"2504","6836",11665
"2505","6841",4650
"2506","6842",2910
"2507","6843",10640
"2508","6844",4040
"2509","6845",6240
"2510","6846",15705
"2511","6851",9485
"2512","6852",10285
"2513","6861",5555
"2514","6862",5680
"2515","6865",4935
"2516","6866",3550
"2517","6869",700
"2518","6871",9120
"2519","6874",1875
"2520","6877",75
"2521","6881",7670
"2522","6882",6515
"2523","6883",4185
"2524","6891",1830
"2525","6901",6705
"2526","6902",1155
"2527","6903",6830
"2528","6904",7140
"2529","6905",4845
"2530","6909",1945
"2531","6911",2440
"2532","6913",825
"2533","6914",1100
"2534","6915",3040
"2535","6916",2840
"2536","6917",795
"2537","6921",14205
"2538","6922",7460
"2539","6923",2025
"2540","6924",1185
"2541","6931",7850
"2542","6932",7300
"2543","6941",4755
"2544","6942",12690
"2545","6951",7185
"2546","6952",4245
"2547","6953",2050
"2548","6955",1035
"2549","6956",935
"2550","6957",910
"2551","6961",10215
"2552","6964",825
"2553","6971",8540
"2554","6974",720
"2555","6975",325
"2556","6981",4445
"2557","6982",2375
"2558","6983",4055
"2559","6984",205
"2560","6986",1370
"2561","6987",2690
"2562","6988",1315
"2563","6991",7855
"2564","6994",1075
"2565","6996",1645
"2566","6997",475
"2567","6998",565
"2568","6999",1600
"2569","7001",4720
"2570","7002",6550
"2571","7003",2910
"2572","7004",4810
"2573","7005",935
"2574","7006",9910
"2575","7007",8995
"2576","7008",880
"2577","7009",7100
"2578","7011",5725
"2579","7021",8775
"2580","7025",2215
"2581","7031",7095
"2582","7035",1520
"2583","7036",450
"2584","7037",2370
"2585","7038",2740
"2586","7039",1180
"2587","7041",8550
"2588","7044",475
"2589","7045",795
"2590","7046",105
"2591","7047",1085
"2592","7048",165
"2593","7051",5800
"2594","7054",1205
"2595","7055",1050
"2596","7061",4495
"2597","7064",5565
"2598","7065",970
"2599","7071",10570
"2600","7075",1790
"2601","7076",850
"2602","7077",485
"2603","7078",1010
"2604","7081",4375
"2605","7083",275
"2606","7084",960
"2607","7091",7210
"2608","7095",1105
"2609","7101",12415
"2610","7102",3715
"2611","7103",7805
"2612","7104",1500
"2613","7105",420
"2614","7106",340
"2615","7107",685
"2616","7108",890
"2617","7109",625
"2618","7113",285
"2619","7115",300
"2620","7119",255
"2621","7121",8010
"2622","7122",8065
"2623","7123",1390
"2624","7126",1525
"2625","7131",9980
"2626","7132",3095
"2627","7134",1165
"2628","7135",1340
"2629","7136",1995
"2630","7137",1390
"2631","7141",9570
"2632","7142",505
"2633","7151",7800
"2634","7152",3330
"2635","7156",2840
"2636","7157",1305
"2637","7161",9285
"2638","7165",1030
"2639","7201",5690
"2640","7202",1765
"2641","7203",4785
"2642","7204",9865
"2643","7205",2315
"2644","7206",6495
"2645","7207",9400
"2646","7211",4555
"2647","7213",3980
"2648","7214",2080
"2649","7215",405
"2650","7216",290
"2651","7217",1800
"2652","7218",1240
"2653","7221",2210
"2654","7223",1050
"2655","7224",75
"2656","7225",250
"2657","7226",130
"2658","7227",900
"2659","7231",5295
"2660","7232",3135
"2661","7233",360
"2662","7234",630
"2663","7241",8240
"2664","7242",5625
"2665","7244",1765
"2666","7245",4305
"2667","7251",7175
"2668","7255",6630
"2669","7256",1440
"2670","7261",7760
"2671","7263",930
"2672","7271",7885
"2673","7273",710
"2674","7274",1335
"2675","7275",655
"2676","7311",11045
"2677","7312",10830
"2678","7313",2310
"2679","7314",7140
"2680","7315",4930
"2681","7316",6295
"2682","7317",670
"2683","7321",6240
"2684","7322",9740
"2685","7323",13850
"2686","7324",2645
"2687","7325",13175
"2688","7326",9660
"2689","7327",5650
"2690","7328",7230
"2691","7329",2750
"2692","7331",11265
"2693","7332",750
"2694","7333",6540
"2695","7334",2660
"2696","7335",6455
"2697","7336",345
"2698","7339",6320
"2699","7341",1065
"2700","7345",2200
"2701","7346",255
"2702","7348",100
"2703","7351",1330
"2704","7352",55
"2705","7361",4960
"2706","7364",1335
"2707","7371",3310
"2708","7381",1760
"2709","7382",1555
"2710","7383",2745
"2711","7384",3045
"2712","7391",12260
"2713","7392",1210
"2714","7395",970
"2715","7396",2540
"2716","7397",765
"2717","7399",655
"2718","7411",8895
"2719","7412",11760
"2720","7413",7210
"2721","7414",5355
"2722","7415",12445
"2723","7416",3460
"2724","7417",5120
"2725","7418",895
"2726","7419",2290
"2727","7421",5180
"2728","7422",2335
"2729","7423",5930
"2730","7424",4745
"2731","7425",7730
"2732","7426",30
"2733","7427",75
"2734","7428",160
"2735","7429",1105
"2736","7431",4915
"2737","7433",6070
"2738","7434",1475
"2739","7435",450
"2740","7437",5765
"2741","7439",290
"2742","7441",5200
"2743","7442",10615
"2744","7443",9160
"2745","7447",6540
"2746","7448",2090
"2747","7451",9590
"2748","7461",10015
"2749","7462",13855
"2750","7463",5220
"2751","7466",325
"2752","7467",435
"2753","7468",7450
"2754","7471",12200
"2755","7472",35
"2756","7475",7320
"2757","7478",2665
"2758","7481",10950
"2759","7482",10480
"2760","7483",2920
"2761","7491",7365
"2762","7495",1935
"2763","7496",2300
"2764","7497",1630
"2765","7511",10365
"2766","7512",7230
"2767","7513",5380
"2768","7514",6535
"2769","7521",9145
"2770","7522",7925
"2771","7523",12225
"2772","7524",3810
"2773","7525",370
"2774","7531",8410
"2775","7532",5345
"2776","7533",4840
"2777","7534",12435
"2778","7535",3740
"2779","7536",55
"2780","7541",3175
"2781","7542",10315
"2782","7543",6375
"2783","7544",15960
"2784","7545",14910
"2785","7546",8605
"2786","7547",585
"2787","7548",4005
"2788","7551",4360
"2789","7552",11690
"2790","7553",9860
"2791","7554",1500
"2792","7555",9510
"2793","7556",12445
"2794","7557",10845
"2795","7558",12030
"2796","7559",10820
"2797","7561",2000
"2798","7562",230
"2799","7571",2810
"2800","7572",5065
"2801","7573",3715
"2802","7574",3490
"2803","7575",680
"2804","7576",5940
"2805","7577",9860
"2806","7581",8570
"2807","7582",5200
"2808","7585",510
"2809","7586",4130
"2810","7587",3945
"2811","7588",1020
"2812","7591",10250
"2813","7595",3120
"2814","7596",2345
"2815","7597",1705
"2816","7601",6930
"2817","7602",6565
"2818","7603",6500
"2819","7604",6500
"2820","7605",2965
"2821","7606",6805
"2822","7607",9570
"2823","7608",11145
"2824","7609",13695
"2825","7610",45
"2826","7611",1530
"2827","7614",250
"2828","7615",1615
"2829","7621",5945
"2830","7622",7810
"2831","7623",8845
"2832","7625",1460
"2833","7626",575
"2834","7627",2065
"2835","7631",4490
"2836","7634",755
"2837","7635",960
"2838","7636",620
"2839","7637",325
"2840","7638",170
"2841","7641",8215
"2842","7642",7405
"2843","7645",1105
"2844","7651",5860
"2845","7661",990
"2846","7662",215
"2847","7663",385
"2848","7664",620
"2849","7665",3555
"2850","7666",905
"2851","7667",1270
"2852","7668",155
"2853","7671",11450
"2854","7672",2510
"2855","7675",150
"2856","7676",4425
"2857","7678",4285
"2858","7679",1290
"2859","7681",8905
"2860","7683",6000
"2861","7685",1055
"2862","7686",575
"2863","7687",1220
"2864","7688",1440
"2865","7691",3570
"2866","7692",955
"2867","7693",1455
"2868","7694",1565
"2869","7695",1100
"2870","7696",320
"2871","7701",12075
"2872","7702",990
"2873","7705",370
"2874","7707",4005
"2875","7711",9560
"2876","7715",980
"2877","7721",7210
"2878","7722",8120
"2879","7731",12250
"2880","7732",1045
"2881","7734",380
"2882","7735",375
"2883","7736",170
"2884","7737",560
"2885","7738",665
"2886","7739",425
"2887","7741",9210
"2888","7742",6685
"2889","7751",3810
"2890","7753",655
"2891","7754",365
"2892","7755",360
"2893","7756",235
"2894","7761",4435
"2895","7764",470
"2896","7765",1655
"2897","7766",1305
"2898","7771",4850
"2899","7772",11195
"2900","7773",4500
"2901","7775",2060
"2902","7776",3240
"2903","7777",980
"2904","7778",210
"2905","7779",115
"2906","7781",255
"2907","7782",1950
"2908","7783",3330
"2909","7784",555
"2910","7785",45
"2911","7786",190
"2912","7787",175
"2913","7788",155
"2914","7791",585
"2915","7792",100
"2916","7793",455
"2917","7794",260
"2918","7795",145
"2919","7796",645
"2920","7797",575
"2921","7798",390
"2922","7811",5340
"2923","7812",9880
"2924","7813",2010
"2925","7814",1860
"2926","7815",6010
"2927","7821",15
"2928","7822",3165
"2929","7823",8235
"2930","7824",7670
"2931","7825",415
"2932","7826",2980
"2933","7827",9070
"2934","7828",2125
"2935","7831",3365
"2936","7833",4715
"2937","7841",2265
"2938","7842",65
"2939","7843",835
"2940","7844",2160
"2941","7845",285
"2942","7846",620
"2943","7847",235
"2944","7848",2180
"2945","7849",375
"2946","7851",365
"2947","7852",215
"2948","7853",165
"2949","7854",1910
"2950","7855",400
"2951","7856",170
"2952","7858",120
"2953","7859",40
"2954","7861",1890
"2955","7863",670
