name,c00_infant_mortality_educ,c00_neonatal_mortality_educ,c00_perinatal_mortality_educ,c00_preterm_birth_educ,c00_sga_educ,c11_class_foreign_born_parents_educ,c11_class_havo_test_educ,c11_class_income_above_75th_educ,c11_class_income_below_25th_educ,c11_class_income_below_50th_educ,c11_class_language_educ,c11_class_math_educ,c11_class_reading_educ,c11_class_size_educ,c11_class_vmbo_gl_test_educ,c11_class_vwo_test_educ,c11_havo_final_educ,c11_havo_test_educ,c11_language_educ,c11_living_space_pp_educ,c11_math_educ,c11_over_advice_educ,c11_reading_educ,c11_under_advice_educ,c11_vmbo_gl_final_educ,c11_vmbo_gl_test_educ,c11_vwo_final_educ,c11_vwo_test_educ,c11_youth_health_costs_educ,c11_youth_protection_educ,c16_havo_income,c16_living_space_pp_income,c16_secondary_class_foreign_born_parents_income,c16_secondary_class_income_above_75th_income,c16_secondary_class_income_below_25th_income,c16_secondary_class_income_below_50th_income,c16_vmbo_gl_income,c16_vwo_income,c16_youth_health_costs_income,c16_youth_protection_income,c21_hbo_followed_income,c21_high_school_attained_income,c21_living_with_parents_income,c21_uni_followed_income,c21_young_parents_income,c30_age_left_parents_income,c30_basic_mhc_income,c30_debt_income,c30_disability_income,c30_employed_income,c30_gifts_received_income,c30_hbo_attained_income,c30_homeowner_income,c30_home_wealth_income,c30_hospital_income,c30_hourly_wage_income,c30_hourly_wage_max_11_income,c30_hourly_wage_max_14_income,c30_household_income_income,c30_household_income_perc_income,c30_hrs_work_pw_income,c30_income_income,c30_income_perc_income,c30_living_space_pp_income,c30_permanent_contract_income,c30_pharma_income,c30_social_assistance_income,c30_specialist_mhc_income,c30_sum_gifts_income,c30_total_health_costs_income,c30_wealth_income,c30_wealth_no_home_income,c30_wo_attained_income
Beverwijk,0.62,0.45,0.45,6.15,13.0,10.86,41.35,22.92,21.5,48.22,53.78,40.44,65.28,25.0,67.24,14.96,42.61,40.92,54.12,30.1,40.02,13.24,64.98,8.87,68.75,67.15,15.38,14.53,629.0,0.6,41.14,32.1,10.83,24.51,20.52,46.09,87.15,16.56,933.0,1.49,46.33,80.5,84.52,13.61,0.67,23.8,7.68,11281.0,3.5,85.63,3.19,35.6,66.56,31581.0,53.4,20.35,5.38,18.51,88009.057,50.46,32.2,47324.811,51.02,43.4,74.27,60.21,2.44,5.62,1846.0,1165.0,76605.0,45024.0,13.49
Bodegraven-Reeuwijk,0.5,0.44,0.44,5.08,7.64,5.91,50.47,26.7,16.98,44.19,58.25,51.44,72.54,24.0,76.03,21.56,49.91,51.06,58.79,32.3,51.74,11.53,73.2,13.45,76.44,77.35,21.99,21.82,702.0,0.79,51.73,34.6,7.59,29.44,18.07,42.72,88.94,21.45,807.0,1.31,54.93,87.29,78.43,18.59,,23.7,5.23,12836.0,1.4,89.59,7.45,45.84,77.08,46760.0,46.18,22.67,3.57,12.66,97725.941,55.73,31.3,51762.641,54.29,42.4,76.69,55.61,1.45,3.44,5957.0,746.0,143171.0,96412.0,19.6
Borsele,0.56,,,5.49,9.72,1.51,53.04,20.25,22.38,52.51,59.87,48.06,76.06,22.0,77.94,21.45,49.71,52.46,59.75,37.9,47.3,9.47,75.97,13.09,70.6,77.89,15.57,22.41,598.0,,46.26,40.1,2.78,20.48,21.3,51.23,87.07,17.51,1084.0,0.75,49.03,87.07,70.08,12.87,,23.0,6.9,9254.0,1.72,90.8,6.39,38.58,78.28,36988.0,47.2,20.79,4.4,15.17,93330.36,52.43,31.0,48615.557,51.98,46.1,76.9,59.05,0.93,4.67,4057.0,944.0,180987.0,143999.0,12.0
Breda,0.48,0.37,0.31,6.83,12.53,11.11,54.48,36.89,21.4,40.57,62.19,48.95,75.41,25.0,78.56,22.45,55.47,54.57,61.01,35.2,47.82,13.76,75.08,8.26,83.6,78.86,24.99,22.14,675.0,0.81,54.42,37.3,9.64,35.33,20.4,40.37,87.94,24.98,995.0,1.22,57.67,81.38,69.6,21.11,0.54,22.9,7.96,12975.0,2.82,84.11,6.07,44.79,65.41,35198.0,52.42,20.78,5.8,20.94,89231.326,49.74,31.2,47163.938,49.67,44.9,70.27,62.88,3.87,5.86,4855.0,1092.0,85100.0,49902.0,18.49
Bronckhorst,0.56,0.48,,6.84,9.23,1.66,48.73,17.91,20.66,52.17,58.3,45.29,75.01,23.0,75.72,17.48,42.74,49.84,56.74,40.0,43.42,8.74,74.66,20.3,74.05,76.32,16.3,17.32,624.0,,43.84,43.4,3.05,21.43,22.42,51.17,86.57,17.91,990.0,0.8,55.31,85.93,71.39,16.33,,23.9,5.32,11609.0,1.58,92.15,9.0,45.55,76.01,37375.0,48.18,20.64,4.61,18.75,92838.785,52.55,31.1,48288.892,51.19,50.0,73.77,56.24,0.79,3.42,4842.0,891.0,150806.0,113431.0,15.9
Brunssum,0.72,0.57,,8.36,13.77,5.13,40.61,11.15,35.74,64.13,49.77,42.93,63.32,25.0,66.33,16.28,39.83,42.26,50.33,39.4,43.71,12.11,64.37,13.14,67.49,69.02,18.73,17.88,683.0,1.27,41.94,42.7,7.95,14.46,35.87,62.81,80.99,17.46,885.0,1.5,46.25,78.56,71.55,12.85,1.03,23.3,11.7,13489.0,6.64,80.8,2.76,36.03,66.78,10073.0,52.53,19.31,8.52,26.32,77676.903,43.14,30.9,42591.094,45.32,53.9,73.52,65.68,3.42,8.55,1647.0,1237.0,44573.0,34500.0,11.9
Bunschoten,0.75,0.63,0.51,6.64,7.96,3.62,48.46,20.68,16.65,47.51,56.94,43.86,74.72,23.0,75.13,18.1,48.34,48.66,56.27,32.0,43.86,14.01,74.54,9.81,78.38,75.94,17.03,18.15,779.0,,42.84,33.7,6.15,24.0,18.06,46.52,87.75,12.39,966.0,,44.49,84.12,87.27,10.26,,24.6,5.58,9707.0,1.84,91.63,3.81,31.9,85.16,58568.0,45.44,20.29,3.53,17.8,97895.254,54.06,30.3,46553.915,49.8,41.6,75.47,58.57,0.68,3.67,3147.0,962.0,153639.0,95071.0,9.86
Buren,0.7,0.6,0.56,7.33,11.12,2.4,46.03,24.85,19.61,49.65,54.6,42.8,69.86,22.0,73.14,19.07,42.97,47.77,55.69,41.1,42.87,8.57,70.72,17.84,68.97,74.8,17.99,20.03,637.0,0.93,45.38,45.2,7.2,26.42,21.16,46.6,87.84,19.26,874.0,,49.36,87.02,73.44,14.37,0.85,23.9,5.96,11628.0,2.91,89.53,7.27,38.08,77.27,45746.0,49.49,20.73,5.02,18.91,97096.025,53.84,31.3,49328.764,52.4,48.7,72.58,57.19,0.94,3.92,4194.0,1022.0,138545.0,92799.0,14.24
Capelle aan den IJssel,0.69,0.56,0.48,8.5,13.03,19.85,44.18,25.88,28.78,50.9,53.55,41.78,68.48,25.0,70.79,17.99,44.98,44.55,52.72,29.5,40.9,13.06,68.53,7.5,71.72,71.27,19.06,18.13,683.0,1.25,45.71,31.3,19.05,27.5,27.38,48.89,84.73,20.41,857.0,1.55,52.68,79.79,79.9,19.17,0.76,23.8,7.07,15686.0,2.02,86.47,3.68,44.77,67.83,24404.0,52.34,21.47,5.36,16.92,92433.248,52.4,31.6,50573.659,53.13,43.3,70.47,62.24,2.92,5.41,2268.0,1057.0,67789.0,43385.0,17.91
Coevorden,0.44,0.4,,7.49,9.65,2.27,45.72,15.87,27.38,58.49,52.69,45.98,60.26,20.0,71.76,18.21,42.2,45.94,51.65,40.0,44.56,12.69,60.08,14.46,68.4,72.24,16.33,17.76,645.0,,42.34,43.2,2.44,15.12,26.8,60.86,86.74,14.38,1165.0,0.89,50.64,84.01,68.11,13.15,0.57,23.0,5.58,13124.0,3.22,86.02,5.33,43.49,74.52,23927.0,52.34,20.03,5.75,21.44,86669.029,48.84,30.9,45918.871,48.93,49.7,70.26,59.53,2.82,4.22,4097.0,1086.0,72830.0,48904.0,15.59
