name,c00_infant_mortality_educ,c00_neonatal_mortality_educ,c00_perinatal_mortality_educ,c00_preterm_birth_educ,c00_sga_educ,c11_class_foreign_born_parents_educ,c11_class_havo_test_educ,c11_class_income_above_75th_educ,c11_class_income_below_25th_educ,c11_class_income_below_50th_educ,c11_class_language_educ,c11_class_math_educ,c11_class_reading_educ,c11_class_size_educ,c11_class_vmbo_gl_test_educ,c11_class_vwo_test_educ,c11_havo_final_educ,c11_havo_test_educ,c11_language_educ,c11_living_space_pp_educ,c11_math_educ,c11_over_advice_educ,c11_reading_educ,c11_under_advice_educ,c11_vmbo_gl_final_educ,c11_vmbo_gl_test_educ,c11_vwo_final_educ,c11_vwo_test_educ,c11_youth_health_costs_educ,c11_youth_protection_educ,c16_havo_income,c16_living_space_pp_income,c16_secondary_class_foreign_born_parents_income,c16_secondary_class_income_above_75th_income,c16_secondary_class_income_below_25th_income,c16_secondary_class_income_below_50th_income,c16_vmbo_gl_income,c16_vwo_income,c16_youth_health_costs_income,c16_youth_protection_income,c21_hbo_followed_income,c21_high_school_attained_income,c21_living_with_parents_income,c21_uni_followed_income,c21_young_parents_income,c30_age_left_parents_income,c30_basic_mhc_income,c30_debt_income,c30_disability_income,c30_employed_income,c30_gifts_received_income,c30_hbo_attained_income,c30_homeowner_income,c30_home_wealth_income,c30_hospital_income,c30_hourly_wage_income,c30_hourly_wage_max_11_income,c30_hourly_wage_max_14_income,c30_household_income_income,c30_household_income_perc_income,c30_hrs_work_pw_income,c30_income_income,c30_income_perc_income,c30_living_space_pp_income,c30_permanent_contract_income,c30_pharma_income,c30_social_assistance_income,c30_specialist_mhc_income,c30_sum_gifts_income,c30_total_health_costs_income,c30_wealth_income,c30_wealth_no_home_income,c30_wo_attained_income
Hardenberg,0.72,0.62,0.55,7.22,8.35,1.01,44.31,11.84,25.81,63.74,56.05,43.21,62.64,22.0,72.52,16.3,37.34,45.14,55.78,35.8,43.15,10.17,62.27,18.14,64.6,73.54,11.23,16.37,683.0,0.82,36.93,38.3,1.21,12.89,25.95,62.96,82.6,13.3,1194.0,0.95,45.1,85.88,76.63,9.73,0.42,23.6,5.71,11943.0,1.62,89.27,4.53,38.14,78.74,25597.0,49.16,19.73,5.64,21.07,88118.281,49.51,30.6,44304.065,47.85,47.0,73.81,57.98,1.28,3.59,2995.0,951.0,88218.0,62620.0,11.91
Harderwijk,0.62,0.56,0.52,6.2,10.12,10.74,53.51,23.26,23.06,50.37,64.83,48.04,75.66,24.0,79.71,22.36,48.85,53.64,64.95,31.8,46.95,10.37,75.73,13.03,77.41,80.71,19.3,22.64,739.0,0.64,50.33,33.7,8.94,25.04,22.54,49.11,85.38,19.82,875.0,0.65,50.57,81.76,72.83,17.24,0.52,23.4,8.63,12972.0,2.99,87.72,3.44,39.05,68.33,34325.0,49.13,20.3,5.4,20.78,88562.672,50.11,30.9,46471.768,49.31,52.5,71.83,59.17,1.91,5.48,2355.0,986.0,75802.0,41476.0,15.1
Hardinxveld-Giessendam,,,,6.52,8.05,1.8,51.0,16.83,18.17,54.21,60.55,46.9,74.57,26.0,76.54,22.21,45.59,50.41,58.93,27.0,46.13,6.97,73.98,18.44,75.19,76.44,16.0,21.79,562.0,,38.92,28.5,3.63,20.53,19.43,50.85,87.58,13.67,895.0,1.09,43.67,87.68,85.22,9.6,,24.2,4.73,10521.0,2.75,87.69,4.73,33.05,84.16,38911.0,43.2,20.9,5.12,15.26,92187.334,54.02,30.3,47609.097,50.96,41.3,75.24,56.37,,3.27,5471.0,923.0,177974.0,139063.0,11.27
Heemskerk,0.5,0.44,0.34,5.97,10.02,10.61,44.32,26.21,21.34,43.44,52.7,40.63,68.36,26.0,69.46,16.61,44.85,45.71,52.77,30.7,40.44,12.36,69.8,9.08,72.29,71.25,19.46,16.75,726.0,,42.97,31.9,9.16,26.92,18.67,43.2,86.99,17.76,1115.0,1.49,49.8,82.16,83.49,16.11,0.67,23.7,7.85,11784.0,2.51,87.76,4.13,40.06,70.55,41622.0,51.78,20.47,4.95,18.24,91680.394,51.95,31.4,49295.409,51.32,41.9,72.42,57.74,2.56,5.28,2440.0,1092.0,83181.0,41559.0,15.48
Heerenveen,0.7,0.5,0.38,6.88,8.87,4.11,50.86,24.8,21.84,49.14,57.99,50.36,72.2,24.0,76.35,22.71,52.61,51.28,57.57,38.6,49.88,11.04,71.91,12.09,76.21,76.87,25.48,22.81,551.0,0.85,46.72,40.9,3.14,21.96,21.91,51.17,87.18,19.19,921.0,1.71,53.18,83.87,66.25,16.34,0.44,22.6,6.89,15503.0,1.77,87.19,4.35,45.04,70.01,24182.0,50.89,19.91,6.28,22.71,85635.224,47.89,30.4,45288.403,48.54,50.0,70.68,59.31,2.78,4.92,2239.0,925.0,69854.0,45671.0,16.88
Heerlen,0.59,0.43,0.34,8.37,15.54,12.22,45.24,12.93,43.3,68.99,54.84,45.48,64.16,25.0,69.23,18.85,37.75,46.08,53.75,37.5,44.52,7.12,64.9,18.16,67.77,69.71,14.89,19.33,686.0,1.94,39.24,40.1,8.86,16.36,35.81,62.36,79.77,15.19,1106.0,3.11,45.5,75.82,67.64,14.1,1.23,22.7,9.37,13396.0,4.99,80.23,2.91,37.65,63.25,13297.0,53.09,19.3,8.44,29.08,78642.171,42.6,31.0,42730.406,44.66,53.5,68.11,63.68,5.17,7.16,1546.0,1109.0,42900.0,29603.0,14.83
Hellendoorn,0.49,0.4,,5.98,9.18,1.63,51.83,15.88,20.06,55.59,60.43,46.76,74.68,24.0,76.77,19.5,43.16,52.93,60.14,33.6,45.86,6.99,75.36,20.2,72.0,78.83,16.24,19.87,659.0,0.92,43.71,35.3,2.72,18.5,20.56,54.24,84.93,16.06,1354.0,0.87,52.29,86.17,78.57,13.12,,24.1,4.81,13008.0,2.18,90.24,6.11,40.21,79.78,26753.0,48.37,20.02,5.86,18.8,90766.166,52.11,31.3,47017.421,51.1,46.7,75.85,58.09,1.2,2.85,5290.0,1193.0,107623.0,80870.0,13.51
Helmond,0.57,0.39,0.36,7.14,13.09,13.05,46.22,23.26,27.64,53.21,54.34,44.83,67.96,25.0,72.65,18.62,43.43,47.23,54.36,36.0,45.06,10.24,68.52,9.65,76.58,73.88,16.59,19.24,738.0,0.75,43.4,37.8,12.37,22.81,26.64,53.0,87.61,16.76,1090.0,1.48,49.17,79.35,76.74,14.41,0.46,23.0,8.21,14252.0,4.97,83.04,3.73,36.33,64.65,21577.0,53.42,19.67,7.18,23.4,85102.579,46.99,30.9,43961.125,46.87,46.7,69.67,62.94,3.08,5.6,2482.0,1284.0,59170.0,37592.0,13.35
Hendrik-Ido-Ambacht,0.43,0.37,0.34,6.79,9.47,4.88,50.17,28.9,16.59,40.22,58.65,47.8,76.07,27.0,76.07,19.36,51.95,50.39,57.21,29.2,47.6,16.5,75.62,9.07,80.78,76.22,20.3,18.77,791.0,,48.69,30.8,9.26,25.7,20.68,45.96,87.54,21.24,1106.0,0.76,53.36,86.52,82.94,17.17,,23.8,6.24,14767.0,1.77,88.36,4.47,45.62,80.32,27262.0,52.95,22.31,3.35,13.3,100913.979,56.56,31.0,51412.148,53.11,41.6,73.4,63.15,1.77,4.55,4731.0,1031.0,134446.0,107185.0,17.88
Hengelo,0.41,0.36,0.3,7.46,10.71,9.24,47.84,21.4,23.98,51.39,55.84,44.71,68.89,24.0,76.75,17.59,46.89,47.92,55.52,34.5,44.03,9.73,70.04,13.62,72.56,77.96,18.87,17.67,809.0,1.08,44.75,37.9,8.14,25.33,23.13,48.24,84.65,17.91,998.0,1.67,57.54,82.77,68.69,17.84,0.69,22.6,7.71,14864.0,2.97,84.53,4.15,48.31,68.21,21195.0,51.43,20.15,7.25,22.09,86293.959,48.58,30.9,45880.761,49.19,64.5,70.63,59.63,2.23,5.71,2704.0,1049.0,67574.0,46379.0,19.06
Het Hogeland,0.54,0.46,0.36,6.37,10.05,1.4,48.38,14.88,26.11,61.04,56.83,44.26,73.95,21.0,75.54,19.65,45.56,49.35,56.66,49.1,43.34,8.39,73.78,16.97,70.83,75.79,17.59,20.0,636.0,0.71,40.28,52.6,2.34,15.81,27.4,59.34,85.0,17.63,807.0,0.75,50.71,83.99,61.5,14.58,0.63,22.6,6.97,12023.0,2.08,86.75,3.69,41.78,71.47,18342.0,48.0,19.75,5.19,19.63,82624.425,46.21,30.5,43835.29,47.01,54.1,69.73,56.58,2.34,4.29,2201.0,845.0,86015.0,67673.0,14.83
Heusden,0.48,0.37,0.34,7.25,10.74,4.73,52.18,26.09,17.03,45.09,62.9,47.19,74.23,26.0,75.88,22.42,46.43,50.94,59.61,38.3,44.12,11.29,72.68,16.33,73.74,75.01,19.62,21.73,905.0,0.62,47.81,40.4,6.08,26.36,19.26,46.85,87.14,19.64,867.0,0.72,54.89,84.89,77.21,17.61,,23.8,6.72,12313.0,3.32,88.08,6.92,46.48,74.1,40720.0,50.48,21.17,3.99,17.16,95784.283,55.23,31.6,50813.503,53.7,48.1,75.19,58.24,1.52,4.56,4791.0,954.0,105855.0,65135.0,17.48
Hillegom,0.54,,,7.59,10.38,5.93,46.95,31.24,17.31,43.66,52.63,42.55,71.43,25.0,73.24,20.07,44.61,45.95,51.45,32.9,41.33,12.05,70.95,13.48,72.02,74.17,17.89,19.17,659.0,,43.96,34.6,4.84,31.1,15.33,41.46,85.26,18.13,1149.0,1.48,52.31,82.83,79.54,18.77,,23.9,7.69,19714.0,2.71,90.05,4.16,42.81,72.53,32272.0,50.86,21.1,3.33,15.88,92958.591,53.52,32.1,50167.138,54.11,44.1,75.0,60.45,,4.89,3037.0,877.0,86002.0,53729.0,17.38
Hilversum,0.64,0.54,0.5,6.0,11.19,11.0,57.02,41.83,20.73,36.61,63.17,51.99,74.72,26.0,79.36,27.0,58.94,58.01,62.89,33.7,51.41,15.98,74.9,6.72,83.8,80.31,29.48,27.04,854.0,1.0,60.22,36.8,8.45,42.71,19.28,35.97,90.36,32.5,971.0,1.17,63.69,85.98,64.36,29.52,0.52,23.0,9.1,12492.0,2.39,85.56,6.24,46.75,63.39,51260.0,52.56,21.44,5.17,18.69,94654.731,50.73,31.0,49023.17,51.14,42.2,67.56,60.64,2.5,6.24,7389.0,900.0,131666.0,80406.0,22.55
Hoeksche Waard,0.34,0.3,0.2,5.92,9.08,1.37,52.49,29.64,14.3,39.66,61.95,48.21,76.82,24.0,76.8,21.47,47.72,53.53,61.72,32.4,47.68,10.25,77.45,15.21,78.28,78.27,19.92,21.35,761.0,0.44,48.84,34.9,3.42,31.11,15.26,38.95,89.06,21.44,930.0,0.98,53.34,87.04,79.4,18.01,0.22,24.0,6.06,11961.0,2.49,88.93,5.64,43.49,77.9,29414.0,49.13,21.42,3.87,14.59,96470.317,55.42,31.8,51480.257,54.66,44.7,75.09,59.93,1.11,4.62,4397.0,1042.0,114429.0,85014.0,15.08
Hof van Twente,0.44,,,7.5,9.0,2.28,51.27,23.59,18.41,48.11,58.9,48.92,75.86,23.0,80.26,19.6,48.67,51.82,59.26,43.6,47.79,9.28,76.02,12.06,76.49,81.56,20.98,20.09,738.0,0.77,42.89,46.3,4.37,22.9,19.25,48.96,84.75,17.17,947.0,1.13,55.05,85.46,77.37,14.95,,23.8,5.93,12794.0,2.03,89.36,11.22,47.68,76.08,36341.0,52.0,20.54,5.08,17.89,91277.266,51.48,31.3,47637.42,50.72,54.2,72.38,58.63,1.5,3.9,9003.0,1060.0,115192.0,78851.0,18.65
Hollands Kroon,0.43,0.41,0.31,7.36,8.31,2.16,42.57,17.21,19.92,51.89,49.92,41.35,69.13,23.0,70.38,15.69,38.24,42.03,49.03,37.0,40.22,10.65,68.93,14.22,68.82,69.77,11.32,15.57,606.0,1.02,37.45,40.0,2.45,19.48,19.04,49.76,85.88,11.79,963.0,0.78,44.95,84.59,74.97,11.12,,23.2,6.51,20154.0,2.63,88.62,6.29,39.88,75.86,22635.0,47.68,20.63,4.33,17.84,90061.977,51.57,31.1,48645.337,52.07,49.0,73.28,54.37,1.17,3.92,4749.0,1153.0,94830.0,72196.0,13.47
Hoogeveen,0.42,0.36,0.32,7.88,10.13,2.79,45.85,10.7,32.13,65.92,54.33,44.48,67.95,22.0,71.89,17.82,34.92,46.18,53.82,35.9,43.96,6.07,67.95,25.18,61.77,72.77,12.74,17.78,758.0,1.08,30.16,38.6,2.77,12.38,31.18,64.68,78.72,9.84,1054.0,1.19,41.68,79.95,73.37,9.17,1.04,23.4,6.6,12890.0,2.8,84.47,3.17,32.71,73.17,17443.0,51.73,18.97,7.15,23.97,81601.407,44.94,30.0,41628.753,44.82,47.6,70.89,59.83,2.85,4.96,1716.0,1122.0,62761.0,45318.0,10.29
Hoorn,0.5,0.41,0.35,6.97,11.01,9.85,43.11,22.65,22.71,49.78,55.74,40.88,69.83,24.0,70.8,15.27,41.75,43.42,55.01,33.3,40.72,12.54,69.68,9.16,71.46,70.96,14.98,15.19,715.0,1.01,43.77,35.1,6.2,23.29,19.62,47.05,84.74,16.92,1014.0,1.48,49.36,81.45,76.7,15.96,0.43,23.0,7.09,12509.0,3.49,83.53,4.2,42.53,66.75,31246.0,50.04,20.92,4.98,18.6,88339.108,49.05,31.1,47447.121,50.11,45.5,70.53,55.84,2.29,5.31,1974.0,876.0,79634.0,48388.0,16.94
Horst aan de Maas,0.54,0.48,0.33,7.46,10.47,2.35,47.79,19.75,18.34,48.12,56.53,50.91,74.07,22.0,74.57,19.24,45.41,48.71,55.56,43.0,49.96,8.21,74.18,18.57,69.8,75.01,17.15,19.78,893.0,,44.89,44.1,3.17,19.9,18.27,49.66,84.83,18.49,1021.0,0.9,57.56,87.07,77.87,16.69,,23.8,5.99,9725.0,1.8,91.89,9.12,48.0,81.28,49857.0,49.15,20.6,5.49,17.56,93958.417,54.32,31.5,49002.302,52.65,59.1,74.7,55.87,1.11,4.61,6701.0,1016.0,142128.0,92271.0,17.83
Houten,0.51,0.44,0.38,5.66,9.29,4.13,51.67,45.19,10.36,27.65,57.31,46.76,77.4,24.0,77.29,20.49,62.08,51.74,56.15,34.8,45.14,21.54,76.45,2.94,84.89,77.05,30.5,20.55,651.0,0.45,64.74,37.7,6.86,40.47,13.79,31.88,91.74,33.5,1045.0,0.92,66.86,87.87,71.28,29.5,0.34,23.4,8.3,12006.0,2.42,90.08,7.17,54.92,73.39,54230.0,48.08,22.6,2.94,10.17,100203.876,57.56,32.1,53818.162,57.03,44.4,71.34,56.38,0.96,5.42,4118.0,934.0,114074.0,59843.0,22.64
Huizen,0.53,0.5,0.44,7.45,10.59,8.71,53.72,35.59,19.83,37.68,64.56,49.5,75.92,25.0,79.23,22.12,55.52,54.16,63.86,33.7,48.05,13.37,75.34,7.99,82.47,79.71,23.38,22.72,653.0,1.0,56.74,35.9,7.35,36.71,19.58,38.54,89.48,26.39,809.0,0.9,61.59,87.12,72.84,23.1,,23.5,9.3,13968.0,2.74,87.15,4.54,48.53,68.36,44707.0,49.6,21.79,5.33,15.77,96026.028,53.56,31.5,50843.412,52.88,42.1,71.13,58.94,1.79,6.29,4975.0,960.0,118006.0,73299.0,19.86
IJsselstein,0.51,0.41,0.38,6.33,10.62,9.01,50.91,33.25,15.86,36.8,59.75,48.33,74.59,25.0,75.82,20.75,52.36,51.26,59.73,33.4,46.92,14.42,74.44,7.1,76.91,76.43,25.04,20.89,654.0,0.54,50.98,35.4,12.03,29.98,18.23,40.38,86.65,27.06,984.0,1.32,59.17,85.51,76.79,22.72,,23.5,9.31,11937.0,3.47,86.19,4.95,45.42,68.31,36328.0,50.96,21.41,4.22,16.32,92733.227,52.91,31.6,49872.343,53.04,43.2,71.21,60.71,2.36,6.5,5563.0,1060.0,97033.0,60705.0,17.21
Kaag en Braassem,0.62,0.62,0.57,7.3,8.77,2.45,45.04,23.97,16.03,42.96,53.66,42.98,73.04,25.0,72.39,15.6,51.31,45.53,53.17,35.6,41.59,18.71,73.36,7.09,79.75,73.47,20.79,15.62,535.0,,52.13,37.5,7.37,31.65,17.67,41.41,88.08,23.59,892.0,0.74,56.96,85.88,81.45,19.11,,24.3,6.81,12541.0,1.93,91.52,6.68,45.41,75.29,47183.0,49.07,21.46,3.58,13.72,98131.605,56.55,31.8,51914.248,55.37,44.5,73.4,56.26,0.83,4.82,5716.0,772.0,126578.0,79395.0,17.73
Kampen,0.59,0.52,0.48,5.29,7.58,2.53,44.81,13.49,22.45,59.4,54.46,41.17,64.86,23.0,70.43,16.71,45.32,44.89,53.49,33.7,40.87,12.36,64.24,13.13,71.97,70.56,15.08,16.56,669.0,0.91,39.37,36.0,3.73,14.45,25.29,58.75,85.93,13.38,1097.0,1.5,48.01,84.26,74.42,12.83,0.69,23.0,6.53,13110.0,1.47,87.5,3.25,37.81,76.26,26032.0,45.65,20.24,5.31,19.15,84536.893,48.24,30.1,44890.851,48.08,45.6,74.18,56.1,1.84,4.11,1747.0,930.0,80835.0,54803.0,12.75
Katwijk,0.55,0.46,0.41,6.13,7.53,3.19,49.2,18.32,16.35,49.95,58.67,49.01,69.01,27.0,75.32,20.31,46.97,50.19,57.86,27.2,48.19,9.77,68.34,13.37,78.35,75.66,18.48,20.92,714.0,0.44,44.15,28.8,4.96,24.43,17.39,46.78,87.36,18.92,941.0,0.94,44.32,83.12,87.16,13.27,0.59,24.6,5.99,9945.0,1.83,90.15,4.72,29.38,80.33,48432.0,47.13,20.79,4.7,15.92,91392.486,52.98,30.9,47110.438,50.23,38.4,77.85,60.87,0.9,4.45,2864.0,826.0,128333.0,79901.0,10.51
Kerkrade,0.68,0.58,0.49,8.19,15.37,9.76,44.72,13.73,38.91,64.15,56.41,46.24,65.74,25.0,70.78,17.64,37.36,44.61,56.15,42.4,44.88,13.02,65.46,15.68,68.68,71.1,14.55,17.6,755.0,1.99,37.47,45.1,9.38,14.45,36.18,63.61,77.51,15.58,1127.0,3.96,42.73,75.65,74.01,12.17,0.82,23.4,9.1,13173.0,5.5,81.4,3.29,35.95,66.68,17271.0,52.48,18.85,8.76,27.82,79289.918,43.11,30.8,41374.432,43.98,56.9,72.35,65.54,3.78,6.71,2078.0,1149.0,62296.0,45025.0,11.85
Koggenland,0.6,,,7.19,7.54,1.69,50.0,23.69,15.27,43.7,59.27,45.69,73.7,25.0,77.34,19.34,39.94,50.05,58.76,36.9,44.63,7.22,73.83,23.19,69.51,77.52,13.22,19.63,569.0,,46.0,38.7,5.71,22.53,18.47,46.49,86.26,14.97,910.0,1.03,49.53,86.5,80.77,13.5,,24.0,5.14,9488.0,1.94,91.99,9.19,43.76,82.69,48240.0,46.71,20.91,3.6,14.81,93896.915,54.64,31.3,49066.52,53.12,47.2,73.97,49.33,,3.2,4603.0,656.0,151102.0,102862.0,14.42
Krimpen aan den IJssel,0.38,,,6.9,9.76,5.4,43.96,24.53,19.73,45.49,53.02,41.29,72.56,27.0,71.23,16.84,45.57,45.16,51.97,30.8,41.14,14.51,72.18,7.26,76.26,72.66,17.95,17.21,621.0,,43.76,32.7,7.81,27.29,19.97,45.2,86.62,17.68,852.0,1.01,50.86,85.83,79.99,16.9,0.67,23.8,6.54,12082.0,2.1,88.67,5.37,45.68,77.17,35600.0,50.47,21.69,4.59,15.37,96330.884,54.98,31.9,51067.127,54.44,42.1,75.38,56.95,1.29,5.2,4935.0,882.0,117042.0,81442.0,17.52
Krimpenerwaard,0.62,0.5,0.48,7.64,8.06,5.14,47.12,24.21,18.77,47.63,56.16,44.27,71.98,24.0,73.18,18.27,47.91,47.73,55.75,32.2,44.09,14.21,73.5,10.75,76.69,74.49,18.08,18.48,545.0,0.53,42.72,35.4,6.36,25.43,18.67,46.5,86.56,15.46,798.0,0.62,51.07,86.92,79.74,15.62,0.37,23.8,4.82,12723.0,1.25,89.72,5.91,42.51,78.04,39731.0,47.56,21.7,3.52,13.98,96885.795,55.84,31.0,50448.808,53.82,44.8,74.05,55.64,1.28,3.19,3885.0,923.0,136320.0,96589.0,15.14
Laarbeek,0.62,0.62,0.56,6.94,11.45,2.16,49.06,23.06,18.56,49.41,60.08,46.06,71.24,25.0,77.57,19.68,44.35,49.84,60.08,35.7,45.9,9.96,71.26,13.31,77.41,78.49,16.11,20.65,1068.0,,43.02,37.6,4.93,20.7,21.46,52.0,86.04,14.72,1095.0,,54.31,87.14,82.75,15.58,,24.1,7.49,10089.0,1.87,88.91,9.13,46.53,75.48,51870.0,51.44,20.83,4.36,16.87,92831.626,52.75,30.8,47643.426,51.34,50.7,74.6,59.56,1.72,4.84,5781.0,1100.0,211979.0,160109.0,16.63
Land van Cuijk,0.55,0.46,0.39,7.13,10.82,5.32,48.81,20.73,19.49,49.98,57.91,44.44,71.74,24.0,74.89,18.49,42.72,48.92,57.2,40.4,43.52,7.8,71.09,14.78,70.93,75.12,14.31,18.67,698.0,0.86,45.11,42.5,5.49,21.25,19.5,49.53,87.98,16.91,888.0,0.91,55.9,86.39,73.89,16.34,,23.4,7.27,13348.0,2.51,90.01,9.29,51.11,74.58,36780.0,49.17,21.22,4.79,15.69,96558.181,54.54,31.4,50133.071,53.27,64.3,75.28,57.1,1.25,4.49,7199.0,1001.0,114320.0,77540.0,19.73
Lansingerland,0.34,0.33,0.25,6.18,9.81,6.03,55.24,42.64,13.25,30.95,61.73,52.12,76.97,25.0,79.3,25.03,58.29,55.78,61.01,34.2,51.71,12.96,77.36,5.9,84.12,79.71,25.8,25.02,685.0,,54.32,35.9,9.22,39.6,15.72,33.79,89.6,23.82,1112.0,0.6,63.28,87.93,79.07,23.31,,23.6,5.71,12995.0,1.92,89.67,8.09,52.88,77.01,51164.0,50.78,22.75,3.42,12.07,102984.223,58.33,31.8,54399.264,56.72,44.4,73.59,56.49,1.19,4.11,10863.0,842.0,192447.0,141284.0,22.62
Leeuwarden,0.66,0.47,0.42,6.33,11.17,6.3,45.42,19.36,28.15,54.24,53.68,42.47,73.23,23.0,72.49,17.41,48.53,45.67,53.22,36.9,41.42,15.39,73.09,11.51,74.22,72.74,20.12,17.36,616.0,1.75,44.47,40.3,5.4,19.06,27.35,54.51,85.68,17.47,1046.0,2.33,52.73,80.67,61.44,16.44,0.81,22.0,9.35,17111.0,1.72,82.45,3.28,45.36,65.25,14718.0,51.6,19.78,6.15,22.65,79683.137,43.47,29.9,42438.719,45.16,49.4,68.42,59.82,5.89,6.88,1855.0,960.0,52142.0,37424.0,16.09
Leiden,0.43,0.38,0.36,7.01,11.6,17.84,54.71,38.32,24.2,41.81,61.8,51.85,76.29,25.0,78.09,25.52,59.27,56.29,61.42,27.6,51.15,15.2,76.96,5.07,83.05,79.91,30.16,25.75,692.0,1.18,59.08,29.6,11.13,38.5,19.95,38.57,89.05,33.41,824.0,1.32,58.87,81.26,69.0,29.44,0.44,23.0,9.69,14026.0,2.77,84.37,6.11,44.17,58.96,37077.0,52.5,21.2,5.29,19.51,89021.181,48.53,30.7,46928.281,48.9,39.8,71.38,61.98,3.86,7.32,4178.0,948.0,89943.0,52866.0,21.4
Leidschendam-Voorburg,0.31,0.27,0.25,6.73,11.62,13.27,51.33,45.24,19.76,34.47,61.27,48.43,74.83,27.0,77.03,20.39,56.89,49.76,60.88,30.0,46.72,18.45,74.03,5.07,81.19,76.59,26.29,19.46,725.0,0.91,59.24,32.2,16.35,42.22,21.72,37.53,89.42,30.41,898.0,1.04,62.5,82.83,69.75,30.49,0.51,23.3,7.69,13862.0,2.31,87.97,7.59,53.97,69.47,42633.0,52.47,22.83,3.89,13.61,99472.32,56.08,32.2,55263.943,57.45,43.2,72.01,61.25,2.12,5.41,5976.0,1072.0,103607.0,60974.0,25.25
Lelystad,0.9,0.78,0.63,8.28,14.21,15.53,40.93,18.25,30.39,55.78,50.5,38.29,65.82,23.0,67.95,14.54,39.72,40.79,49.11,35.4,36.81,13.02,65.41,12.4,66.92,68.07,14.28,14.39,732.0,1.08,35.44,37.1,16.64,19.35,29.39,54.37,81.29,12.57,1060.0,2.29,43.65,73.68,71.16,13.8,1.42,22.6,8.48,18164.0,3.58,81.25,2.08,35.49,63.91,13279.0,53.21,19.44,8.69,24.45,80943.751,45.19,30.7,43223.286,46.28,46.3,66.8,61.52,4.12,5.64,2355.0,1031.0,44256.0,30977.0,11.23
Leudal,0.73,0.65,0.61,7.86,11.18,2.04,50.82,23.46,16.02,45.07,59.38,51.39,75.04,21.0,78.5,22.34,47.38,51.8,58.9,45.5,50.94,6.54,75.75,15.7,78.94,79.43,20.08,23.18,827.0,,44.39,47.1,2.95,23.19,17.98,46.47,84.05,17.32,929.0,0.81,53.75,83.11,77.35,14.83,,23.5,6.1,11370.0,2.46,90.87,9.74,49.23,80.81,37872.0,49.49,21.05,4.32,15.67,92551.27,53.95,32.0,49836.466,54.2,55.7,75.87,58.15,1.08,4.05,6649.0,846.0,102883.0,65011.0,20.46
Leusden,0.51,0.43,,5.31,8.2,2.8,47.11,37.68,13.72,32.44,52.81,44.99,75.95,25.0,76.15,17.55,57.58,47.95,51.31,34.8,43.95,22.83,75.51,6.77,87.75,77.17,21.66,17.88,610.0,1.05,57.86,37.5,7.67,39.63,16.27,35.03,91.83,23.1,988.0,0.82,65.42,87.98,69.87,23.87,,23.0,7.88,13881.0,1.98,89.92,6.06,51.85,74.57,46002.0,50.24,22.51,3.0,11.93,100547.772,56.66,31.7,54114.162,55.79,44.8,71.98,56.73,1.13,5.63,3195.0,850.0,128689.0,82686.0,22.04
Lingewaard,0.43,0.35,0.32,5.68,10.31,2.29,49.81,28.79,14.2,40.9,56.46,45.68,74.17,26.0,76.1,17.07,50.96,50.39,55.89,37.0,45.03,13.31,74.03,10.63,78.29,77.43,19.47,16.97,643.0,,51.15,38.3,5.92,27.52,19.25,44.39,88.05,17.54,1006.0,0.52,58.48,86.81,72.48,18.58,,23.6,7.08,12733.0,2.46,89.33,6.57,48.98,76.46,33710.0,48.81,21.22,4.86,16.21,94142.443,52.72,31.6,49910.501,53.33,48.1,75.04,57.41,1.73,4.79,5999.0,932.0,118809.0,85099.0,17.93
Lisse,0.63,0.58,0.58,7.48,10.32,2.92,47.98,29.13,14.44,42.43,55.38,45.15,73.1,29.0,74.03,19.92,47.36,49.84,54.82,33.0,45.18,10.46,72.46,15.11,73.43,74.87,19.68,20.89,590.0,,45.69,34.9,3.21,30.22,14.5,41.5,86.28,19.85,800.0,,55.98,86.69,79.88,19.06,,24.1,8.38,12923.0,1.78,90.09,6.18,47.16,76.49,44196.0,48.18,21.39,4.84,15.3,97081.274,55.06,32.0,51396.422,54.82,42.6,75.22,53.18,1.27,5.25,4084.0,788.0,101965.0,57769.0,17.95
Maashorst,0.46,0.38,0.32,7.46,11.63,4.99,46.49,22.2,18.93,47.79,53.52,46.83,70.98,25.0,73.34,18.12,46.73,47.55,52.78,40.2,46.49,12.52,71.33,11.57,72.52,74.33,16.17,18.56,650.0,1.09,38.97,41.7,5.19,22.71,19.02,47.8,83.86,15.39,857.0,1.21,55.34,86.48,79.66,14.54,,23.9,6.91,12625.0,2.9,88.52,9.33,46.01,74.32,45392.0,50.17,20.96,5.13,16.74,93831.295,52.84,31.5,49082.306,52.23,51.6,74.12,57.05,1.4,3.75,8511.0,1073.0,128429.0,83037.0,16.49
Maassluis,0.53,0.47,0.43,6.92,12.32,19.0,42.78,24.53,28.2,50.53,53.8,41.37,67.57,25.0,67.86,16.97,39.35,43.37,53.68,29.0,41.1,12.02,68.61,9.12,67.34,68.46,15.16,16.78,634.0,1.52,38.34,30.9,15.66,25.29,25.42,47.48,83.64,15.37,1024.0,1.53,47.31,82.13,81.49,15.04,0.64,23.6,7.27,15277.0,1.82,86.6,3.06,42.23,67.31,18082.0,52.52,21.15,4.97,16.47,93209.112,53.04,31.7,50419.244,53.12,42.5,73.6,60.47,3.43,5.04,1906.0,1107.0,72233.0,54151.0,14.29
